¹øÈ£,°³¹æ¼­ºñ½º¸í,ÀÎÇã°¡ÀÏÀÚ,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,¿µ¾÷»óÅÂ¸í,»ó¼¼¿µ¾÷»óÅÂ¸í,¼ÒÀçÁö¿ìÆí¹øÈ£,µµ·Î¸í¿ìÆí¹øÈ£,½Ã¼³¸éÀû
247,°ü±¤Ææ¼Ç¾÷,2004-06-25,,Æó¾÷,Æó¾÷,395-821,395-820,
248,°ü±¤Ææ¼Ç¾÷,2005-04-15,,Æó¾÷,Æó¾÷,395-801,27024,199.88
249,°ü±¤Ææ¼Ç¾÷,2003-12-03,,Æó¾÷,Æó¾÷,390-831,,
250,°ü±¤Ææ¼Ç¾÷,2009-08-06,,Æó¾÷,Æó¾÷,417-861,417-861,201.95
251,°ü±¤Ææ¼Ç¾÷,2018-10-10,,Æó¾÷,Æó¾÷,,23021,
252,°ü±¤Ææ¼Ç¾÷,2005-10-31,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,745-862,36923,135.1
253,°ü±¤Ææ¼Ç¾÷,2003-12-29,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,745-803,745-803,231.86
254,°ü±¤Ææ¼Ç¾÷,2008-05-22,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,745-801,,3206
255,°ü±¤Ææ¼Ç¾÷,2015-06-26,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,780-410,38126,
256,°ü±¤Ææ¼Ç¾÷,2009-08-21,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,745-803,36912,118.3
257,°ü±¤Ææ¼Ç¾÷,2010-02-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,745-903,36993,131
258,°ü±¤Ææ¼Ç¾÷,2013-04-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,745-801,36919,63
259,°ü±¤Ææ¼Ç¾÷,2016-06-09,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36919,490.95
260,°ü±¤Ææ¼Ç¾÷,2015-06-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-884,33501,128.48
261,°ü±¤Ææ¼Ç¾÷,2015-06-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-884,33501,116.73
262,°ü±¤Ææ¼Ç¾÷,2015-06-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-884,33501,116.73
263,°ü±¤Ææ¼Ç¾÷,2015-06-25,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33489,386.4
264,°ü±¤Ææ¼Ç¾÷,2016-08-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33488,218
265,°ü±¤Ææ¼Ç¾÷,2018-06-07,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33488,390.96
266,°ü±¤Ææ¼Ç¾÷,2018-07-24,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33489,498.29
267,°ü±¤Ææ¼Ç¾÷,2015-06-18,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-884,33501,385.4
268,°ü±¤Ææ¼Ç¾÷,2006-11-14,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32155,
269,°ü±¤Ææ¼Ç¾÷,2008-06-12,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32157,425.46
270,°ü±¤Ææ¼Ç¾÷,2008-12-04,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32155,658.14
271,°ü±¤Ææ¼Ç¾÷,2008-06-12,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32155,790.78
272,°ü±¤Ææ¼Ç¾÷,2008-06-12,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32163,93.92
273,°ü±¤Ææ¼Ç¾÷,2009-05-29,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32153,287.82
274,°ü±¤Ææ¼Ç¾÷,2010-05-11,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-952,,334.99
275,°ü±¤Ææ¼Ç¾÷,2010-07-27,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-942,32130,614.88
276,°ü±¤Ææ¼Ç¾÷,2010-08-05,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-953,,559.29
277,°ü±¤Ææ¼Ç¾÷,2006-06-12,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32155,
278,°ü±¤Ææ¼Ç¾÷,2008-01-15,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-963,32163,297
279,°ü±¤Ææ¼Ç¾÷,2008-02-20,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32155,673
280,°ü±¤Ææ¼Ç¾÷,2008-05-29,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32170,522.84
281,°ü±¤Ææ¼Ç¾÷,2011-09-30,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,356-835,356-835,1000
282,°ü±¤Ææ¼Ç¾÷,2010-08-05,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-922,,789.01
283,°ü±¤Ææ¼Ç¾÷,2010-08-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32158,520.62
284,°ü±¤Ææ¼Ç¾÷,2008-05-29,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32170,612.74
285,°ü±¤Ææ¼Ç¾÷,2012-08-22,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-912,,385.54
286,°ü±¤Ææ¼Ç¾÷,2012-05-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32152,408.41
287,°ü±¤Ææ¼Ç¾÷,2014-07-08,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-972,32170,979
288,°ü±¤Ææ¼Ç¾÷,2010-08-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-952,,340.54
289,°ü±¤Ææ¼Ç¾÷,2010-12-02,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-963,,446.15
290,°ü±¤Ææ¼Ç¾÷,2010-12-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-952,,998.96
291,°ü±¤Ææ¼Ç¾÷,2011-02-22,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-907,,1092.64
292,°ü±¤Ææ¼Ç¾÷,2011-07-11,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-952,,246.97
293,°ü±¤Ææ¼Ç¾÷,2011-09-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-952,,993.09
294,°ü±¤Ææ¼Ç¾÷,2012-05-25,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,357-913,357-913,742.25
295,°ü±¤Ææ¼Ç¾÷,2022-03-24,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53080,84.01
296,°ü±¤Ææ¼Ç¾÷,2018-12-27,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,58824,260.76
297,°ü±¤Ææ¼Ç¾÷,2019-01-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,23060,
298,°ü±¤Ææ¼Ç¾÷,2019-01-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,52317,
299,°ü±¤Ææ¼Ç¾÷,2019-02-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,50584,0
300,°ü±¤Ææ¼Ç¾÷,2019-01-28,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,37947,
301,°ü±¤Ææ¼Ç¾÷,2019-03-22,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53084,
302,°ü±¤Ææ¼Ç¾÷,2019-03-20,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,26246,1726.19
303,°ü±¤Ææ¼Ç¾÷,2019-01-09,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,58824,356.92
304,°ü±¤Ææ¼Ç¾÷,2019-02-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,24666,175.82
305,°ü±¤Ææ¼Ç¾÷,2019-03-05,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33488,130.22
306,°ü±¤Ææ¼Ç¾÷,2019-03-25,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36054,229.52
307,°ü±¤Ææ¼Ç¾÷,2022-04-25,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36902,192.73
308,°ü±¤Ææ¼Ç¾÷,2016-06-28,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36404,995.18
309,°ü±¤Ææ¼Ç¾÷,2006-07-18,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,766-841,766-841,907
310,°ü±¤Ææ¼Ç¾÷,2011-09-15,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,766-823,36453,506.92
311,°ü±¤Ææ¼Ç¾÷,2012-02-27,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,766-853,766-853,1009.04
312,°ü±¤Ææ¼Ç¾÷,2014-11-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,766-853,36403,1226.97
313,°ü±¤Ææ¼Ç¾÷,2017-11-08,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36404,994.13
314,°ü±¤Ææ¼Ç¾÷,2016-11-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,39309,1092
315,°ü±¤Ææ¼Ç¾÷,2007-05-10,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,742-961,37128,573.92
316,°ü±¤Ææ¼Ç¾÷,2012-09-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,780-170,38172,
317,°ü±¤Ææ¼Ç¾÷,2014-04-03,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,780-460,38200,225
318,°ü±¤Ææ¼Ç¾÷,2014-08-26,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,780-400,38127,453.2
319,°ü±¤Ææ¼Ç¾÷,2012-04-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,799-821,40211,132.78
320,°ü±¤Ææ¼Ç¾÷,2013-03-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,40228,992.58
321,°ü±¤Ææ¼Ç¾÷,2013-08-09,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,40227,77.23
322,°ü±¤Ææ¼Ç¾÷,2013-10-11,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,40212,647.55
323,°ü±¤Ææ¼Ç¾÷,2015-07-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,799-803,40230,30.84
324,°ü±¤Ææ¼Ç¾÷,2015-08-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,40205,531.12
325,°ü±¤Ææ¼Ç¾÷,2015-12-01,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,40232,154.25
326,°ü±¤Ææ¼Ç¾÷,2013-09-04,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36347,
327,°ü±¤Ææ¼Ç¾÷,2013-09-04,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36347,
328,°ü±¤Ææ¼Ç¾÷,2017-05-31,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,40232,549.26
329,°ü±¤Ææ¼Ç¾÷,2017-06-08,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,40230,321.96
330,°ü±¤Ææ¼Ç¾÷,2018-05-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,40220,322.14
331,°ü±¤Ææ¼Ç¾÷,2014-07-21,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,755-881,36264,176.84
332,°ü±¤Ææ¼Ç¾÷,2010-05-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,763-812,,730.05
333,°ü±¤Ææ¼Ç¾÷,2015-06-18,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-884,33501,128.48
334,°ü±¤Ææ¼Ç¾÷,2009-12-28,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-150,33489,344.52
335,°ü±¤Ææ¼Ç¾÷,2010-10-20,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33489,317.98
336,°ü±¤Ææ¼Ç¾÷,2011-03-14,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33489,379.76
337,°ü±¤Ææ¼Ç¾÷,2011-07-20,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33489,393.36
338,°ü±¤Ææ¼Ç¾÷,2011-12-07,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-846,355-846,1155.59
339,°ü±¤Ææ¼Ç¾÷,2012-07-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-944,355-944,367.95
340,°ü±¤Ææ¼Ç¾÷,2012-07-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-944,33488,367.95
341,°ü±¤Ææ¼Ç¾÷,2015-11-11,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32626,
342,°ü±¤Ææ¼Ç¾÷,2015-11-11,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32620,
343,°ü±¤Ææ¼Ç¾÷,2012-11-21,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33489,341.49
344,°ü±¤Ææ¼Ç¾÷,2013-05-15,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33488,362.04
345,°ü±¤Ææ¼Ç¾÷,2017-06-07,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33028,980.9
346,°ü±¤Ææ¼Ç¾÷,2012-11-21,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33489,370.98
347,°ü±¤Ææ¼Ç¾÷,2013-07-01,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33489,317.08
348,°ü±¤Ææ¼Ç¾÷,2013-07-02,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33488,391.08
349,°ü±¤Ææ¼Ç¾÷,2014-07-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33488,
350,°ü±¤Ææ¼Ç¾÷,2014-08-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-884,33501,3100.72
351,°ü±¤Ææ¼Ç¾÷,2014-08-25,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-944,33488,934.17
352,°ü±¤Ææ¼Ç¾÷,2015-04-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-846,33411,389.85
353,°ü±¤Ææ¼Ç¾÷,2015-04-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-884,33501,128.48
354,°ü±¤Ææ¼Ç¾÷,2015-05-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,355-943,33488,368.55
355,°ü±¤Ææ¼Ç¾÷,2015-10-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,12668,223.48
356,°ü±¤Ææ¼Ç¾÷,2019-03-12,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36054,228.94
357,°ü±¤Ææ¼Ç¾÷,2019-02-26,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,52441,
358,°ü±¤Ææ¼Ç¾÷,2019-04-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,59771,173.73
359,°ü±¤Ææ¼Ç¾÷,2019-05-22,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,59569,212.41
360,°ü±¤Ææ¼Ç¾÷,2019-05-22,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,59569,212.41
361,°ü±¤Ææ¼Ç¾÷,2019-04-12,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,39848,249.11
362,°ü±¤Ææ¼Ç¾÷,2004-08-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,23007,
363,°ü±¤Ææ¼Ç¾÷,2019-05-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53333,
364,°ü±¤Ææ¼Ç¾÷,2019-05-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,12457,464.65
365,°ü±¤Ææ¼Ç¾÷,2019-05-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53081,
366,°ü±¤Ææ¼Ç¾÷,2019-04-22,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,36755,0
367,°ü±¤Ææ¼Ç¾÷,2019-05-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,27226,212.4
368,°ü±¤Ææ¼Ç¾÷,2006-03-31,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,252-801,24643,479.6
369,°ü±¤Ææ¼Ç¾÷,2006-03-31,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,252-841,24656,185.24
370,°ü±¤Ææ¼Ç¾÷,2012-11-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,252-803,24640,806
371,°ü±¤Ææ¼Ç¾÷,2016-05-18,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,23117,763
372,°ü±¤Ææ¼Ç¾÷,2017-04-11,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,23122,4848
373,°ü±¤Ææ¼Ç¾÷,2017-05-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,23112,1649
374,°ü±¤Ææ¼Ç¾÷,2017-09-29,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,23118,1949.58
375,°ü±¤Ææ¼Ç¾÷,2015-01-26,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,536-924,59065,235.5
376,°ü±¤Ææ¼Ç¾÷,2016-03-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,56198,232.95
377,°ü±¤Ææ¼Ç¾÷,2015-07-10,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,325-893,33603,892.87
378,°ü±¤Ææ¼Ç¾÷,2018-03-27,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,56338,
379,°ü±¤Ææ¼Ç¾÷,2018-06-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,56342,
380,°ü±¤Ææ¼Ç¾÷,2014-03-03,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,55805,503.64
381,°ü±¤Ææ¼Ç¾÷,2014-03-21,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,590-852,55805,275.7
382,°ü±¤Ææ¼Ç¾÷,2014-03-31,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,590-852,55805,191.18
383,°ü±¤Ææ¼Ç¾÷,2014-04-25,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,590-812,55802,1542
384,°ü±¤Ææ¼Ç¾÷,2011-04-28,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-811,,751.47
385,°ü±¤Ææ¼Ç¾÷,2012-06-27,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-814,55557,385.02
386,°ü±¤Ææ¼Ç¾÷,2012-09-21,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,579-851,56340,
387,°ü±¤Ææ¼Ç¾÷,2012-10-18,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,579-892,56341,188.39
388,°ü±¤Ææ¼Ç¾÷,2015-06-30,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,56340,611.25
389,°ü±¤Ææ¼Ç¾÷,2017-06-30,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,56340,134.08
390,°ü±¤Ææ¼Ç¾÷,2017-06-30,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,56338,
391,°ü±¤Ææ¼Ç¾÷,2017-07-03,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,56338,
392,°ü±¤Ææ¼Ç¾÷,2017-07-03,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,56340,134.08
393,°ü±¤Ææ¼Ç¾÷,2013-07-22,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,55557,
394,°ü±¤Ææ¼Ç¾÷,2014-12-08,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-811,55555,224.08
395,°ü±¤Ææ¼Ç¾÷,2016-01-07,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,55555,393.36
396,°ü±¤Ææ¼Ç¾÷,2018-03-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,55557,347.09
397,°ü±¤Ææ¼Ç¾÷,2005-11-04,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-823,55563,388.92
398,°ü±¤Ææ¼Ç¾÷,2005-02-24,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-814,,244.25
399,°ü±¤Ææ¼Ç¾÷,2008-05-27,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-814,568-814,519
400,°ü±¤Ææ¼Ç¾÷,2009-11-02,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-811,,697.11
401,°ü±¤Ææ¼Ç¾÷,2009-06-02,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-814,,299.82
402,°ü±¤Ææ¼Ç¾÷,2010-03-30,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-811,,575.16
403,°ü±¤Ææ¼Ç¾÷,2010-03-30,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-811,55555,366
404,°ü±¤Ææ¼Ç¾÷,2011-04-18,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-811,,487.12
405,°ü±¤Ææ¼Ç¾÷,2011-04-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,568-811,,1270.27
406,°ü±¤Ææ¼Ç¾÷,2011-04-28,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,55555,705.6
407,°ü±¤Ææ¼Ç¾÷,2016-01-14,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,55530,227.93
408,°ü±¤Ææ¼Ç¾÷,2009-09-07,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,413-876,10826,
409,°ü±¤Ææ¼Ç¾÷,2018-01-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,17023,227.85
410,°ü±¤Ææ¼Ç¾÷,2006-12-20,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,487-851,,141.88
411,°ü±¤Ææ¼Ç¾÷,2012-06-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,487-851,11119,652.83
412,°ü±¤Ææ¼Ç¾÷,2012-07-05,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,487-912,11137,221.02
413,°ü±¤Ææ¼Ç¾÷,2014-05-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,487-873,11152,588.2
414,°ü±¤Ææ¼Ç¾÷,2017-06-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,11185,148.44
415,°ü±¤Ææ¼Ç¾÷,2004-10-29,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,476-808,12547,763.7
416,°ü±¤Ææ¼Ç¾÷,2016-04-20,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,12571,194.92
417,°ü±¤Ææ¼Ç¾÷,2009-12-24,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,476-801,,232.74
418,°ü±¤Ææ¼Ç¾÷,2010-06-04,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,476-852,,228.82
419,°ü±¤Ææ¼Ç¾÷,2011-01-18,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,482-812,11519,
420,°ü±¤Ææ¼Ç¾÷,2011-04-27,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,482-812,11519,
421,°ü±¤Ææ¼Ç¾÷,2019-05-31,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53273,
422,°ü±¤Ææ¼Ç¾÷,2019-06-07,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53080,
423,°ü±¤Ææ¼Ç¾÷,2019-07-10,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,24465,259.93
424,°ü±¤Ææ¼Ç¾÷,2019-07-29,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33489,369
425,°ü±¤Ææ¼Ç¾÷,2019-09-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33488,393.32
426,°ü±¤Ææ¼Ç¾÷,2019-09-02,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,52235,0
427,°ü±¤Ææ¼Ç¾÷,2019-08-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33489,390.42
428,°ü±¤Ææ¼Ç¾÷,2019-08-06,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,37943,
429,°ü±¤Ææ¼Ç¾÷,2019-07-25,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,32105,1211.43
430,°ü±¤Ææ¼Ç¾÷,2019-07-09,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53004,
431,°ü±¤Ææ¼Ç¾÷,2019-08-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53203,
432,°ü±¤Ææ¼Ç¾÷,2019-07-05,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33488,496.3
433,°ü±¤Ææ¼Ç¾÷,2019-07-05,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,33488,359.52
434,°ü±¤Ææ¼Ç¾÷,2022-04-14,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,53004,212.5
435,°ü±¤Ææ¼Ç¾÷,2022-04-18,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,18553,559.91
436,°ü±¤Ææ¼Ç¾÷,2006-10-17,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,225-862,,149.22
437,°ü±¤Ææ¼Ç¾÷,2008-01-28,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,25261,300.08
438,°ü±¤Ææ¼Ç¾÷,2014-08-26,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,57550,
439,°ü±¤Ææ¼Ç¾÷,2014-08-13,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,545-821,57703,1566
440,°ü±¤Ææ¼Ç¾÷,2017-09-14,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,57703,935.22
441,°ü±¤Ææ¼Ç¾÷,2016-07-25,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,58228,370
442,°ü±¤Ææ¼Ç¾÷,2014-08-19,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,513-893,57068,561.04
443,°ü±¤Ææ¼Ç¾÷,2016-05-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,57058,2996
444,°ü±¤Ææ¼Ç¾÷,2016-11-01,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,58944,
445,°ü±¤Ææ¼Ç¾÷,2012-06-14,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,556-905,59774,581.99
446,°ü±¤Ææ¼Ç¾÷,2012-05-16,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,542-831,57601,126.62
447,°ü±¤Ææ¼Ç¾÷,2012-05-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,542-831,57601,142.59
448,°ü±¤Ææ¼Ç¾÷,2014-04-28,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,542-863,57623,
449,°ü±¤Ææ¼Ç¾÷,2016-03-02,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,,57660,123
450,°ü±¤Ææ¼Ç¾÷,2012-12-14,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,535-822,58807,215.59
451,°ü±¤Ææ¼Ç¾÷,2013-12-23,,¿µ¾÷/Á¤»ó,¿µ¾÷Áß,535-822,58807,119.3
