¹øÈ£,°³¹æ¼­ºñ½º¸í,ÀÎÇã°¡ÀÏÀÚ,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,¿µ¾÷»óÅÂ¸í,»ó¼¼¿µ¾÷»óÅÂ¸í,¼ÒÀçÁö¿ìÆí¹øÈ£,µµ·Î¸í¿ìÆí¹øÈ£,½Ã¼³¸éÀû
57,°ü±¤Ææ¼Ç¾÷,2010-11-08,,Æó¾÷,Æó¾÷,780-844,,
58,°ü±¤Ææ¼Ç¾÷,2012-10-11,,Æó¾÷,Æó¾÷,780-410,38126,
59,°ü±¤Ææ¼Ç¾÷,2012-10-25,,Æó¾÷,Æó¾÷,780-430,38126,
60,°ü±¤Ææ¼Ç¾÷,2012-11-06,,Æó¾÷,Æó¾÷,780-843,38220,
61,°ü±¤Ææ¼Ç¾÷,2013-10-08,,Æó¾÷,Æó¾÷,780-430,38126,229.82
62,°ü±¤Ææ¼Ç¾÷,2013-11-14,,Æó¾÷,Æó¾÷,780-430,38126,218.6
63,°ü±¤Ææ¼Ç¾÷,2014-06-18,,Æó¾÷,Æó¾÷,780-400,38127,85.08
64,°ü±¤Ææ¼Ç¾÷,2014-06-18,,Æó¾÷,Æó¾÷,780-430,780-430,104.82
65,°ü±¤Ææ¼Ç¾÷,2014-07-16,,Æó¾÷,Æó¾÷,780-430,38126,131.75
66,°ü±¤Ææ¼Ç¾÷,2014-03-07,,Æó¾÷,Æó¾÷,799-803,799-803,245.79
67,°ü±¤Ææ¼Ç¾÷,2011-06-13,,Æó¾÷,Æó¾÷,769-972,,
68,°ü±¤Ææ¼Ç¾÷,2014-03-21,,Æó¾÷,Æó¾÷,763-833,37437,228.68
69,°ü±¤Ææ¼Ç¾÷,2014-07-21,,Æó¾÷,Æó¾÷,409-892,409-892,303
70,°ü±¤Ææ¼Ç¾÷,2004-04-03,,Æó¾÷,Æó¾÷,355-943,33490,968.88
71,°ü±¤Ææ¼Ç¾÷,2010-05-18,,Æó¾÷,Æó¾÷,355-944,33489,310.72
72,°ü±¤Ææ¼Ç¾÷,2010-08-18,,Æó¾÷,Æó¾÷,355-943,33489,336.99
73,°ü±¤Ææ¼Ç¾÷,2011-03-14,,Æó¾÷,Æó¾÷,355-943,33489,436.32
74,°ü±¤Ææ¼Ç¾÷,2011-07-06,,Æó¾÷,Æó¾÷,355-943,33489,397.99
75,°ü±¤Ææ¼Ç¾÷,2012-02-10,,Æó¾÷,Æó¾÷,355-943,355-943,280.65
76,°ü±¤Ææ¼Ç¾÷,2012-11-12,,Æó¾÷,Æó¾÷,355-943,33489,206.52
77,°ü±¤Ææ¼Ç¾÷,2012-11-27,,Æó¾÷,Æó¾÷,355-943,355-943,295.26
78,°ü±¤Ææ¼Ç¾÷,2012-12-20,,Æó¾÷,Æó¾÷,355-943,33489,440.85
79,°ü±¤Ææ¼Ç¾÷,2012-05-31,,Æó¾÷,Æó¾÷,320-881,,
80,°ü±¤Ææ¼Ç¾÷,2017-06-07,,Æó¾÷,Æó¾÷,,33028,490.45
81,°ü±¤Ææ¼Ç¾÷,2013-05-28,,Æó¾÷,Æó¾÷,355-943,355-943,314.17
82,°ü±¤Ææ¼Ç¾÷,2013-07-01,,Æó¾÷,Æó¾÷,355-943,33488,380.04
83,°ü±¤Ææ¼Ç¾÷,2013-07-05,,Æó¾÷,Æó¾÷,355-943,33488,378.84
84,°ü±¤Ææ¼Ç¾÷,2007-08-09,,Æó¾÷,Æó¾÷,469-832,,225.89
85,°ü±¤Ææ¼Ç¾÷,2019-04-29,,Æó¾÷,Æó¾÷,,33344,0
86,°ü±¤Ææ¼Ç¾÷,2010-08-31,,Æó¾÷,Æó¾÷,619-951,46028,143.26
87,°ü±¤Ææ¼Ç¾÷,2010-12-09,,Æó¾÷,Æó¾÷,585-805,585-805,
88,°ü±¤Ææ¼Ç¾÷,2017-12-20,,Æó¾÷,Æó¾÷,,56212,392.24
89,°ü±¤Ææ¼Ç¾÷,2009-06-16,,Æó¾÷,Æó¾÷,579-893,56345,
90,°ü±¤Ææ¼Ç¾÷,2012-11-27,,Æó¾÷,Æó¾÷,568-811,55555,495
91,°ü±¤Ææ¼Ç¾÷,2012-11-09,,Æó¾÷,Æó¾÷,579-853,579-853,229.41
92,°ü±¤Ææ¼Ç¾÷,2014-12-08,,Æó¾÷,Æó¾÷,568-811,55555,22537
93,°ü±¤Ææ¼Ç¾÷,2010-08-04,,Æó¾÷,Æó¾÷,568-814,,173.98
94,°ü±¤Ææ¼Ç¾÷,2010-08-05,,Æó¾÷,Æó¾÷,568-814,,267.82
95,°ü±¤Ææ¼Ç¾÷,2010-08-10,,Æó¾÷,Æó¾÷,568-823,,155.39
96,°ü±¤Ææ¼Ç¾÷,2011-04-22,,Æó¾÷,Æó¾÷,568-811,,490.8
97,°ü±¤Ææ¼Ç¾÷,2017-11-30,,Æó¾÷,Æó¾÷,,55557,904.46
98,°ü±¤Ææ¼Ç¾÷,2016-03-14,,Æó¾÷,Æó¾÷,,10809,
99,°ü±¤Ææ¼Ç¾÷,2005-04-28,,Æó¾÷,Æó¾÷,476-851,,214.53
100,°ü±¤Ææ¼Ç¾÷,2012-12-12,,Æó¾÷,Æó¾÷,476-851,12528,682.09
101,°ü±¤Ææ¼Ç¾÷,2005-06-17,,Æó¾÷,Æó¾÷,476-801,,198.87
102,°ü±¤Ææ¼Ç¾÷,2011-02-21,,Æó¾÷,Æó¾÷,476-921,,263.74
103,°ü±¤Ææ¼Ç¾÷,2004-07-21,,Æó¾÷,Æó¾÷,225-834,25261,343.02
104,°ü±¤Ææ¼Ç¾÷,2006-09-18,,Æó¾÷,Æó¾÷,225-862,,65.09
105,°ü±¤Ææ¼Ç¾÷,2015-01-07,,Æó¾÷,Æó¾÷,520-160,58243,66.45
106,°ü±¤Ææ¼Ç¾÷,2014-10-23,,Æó¾÷,Æó¾÷,539-835,58936,
107,°ü±¤Ææ¼Ç¾÷,2012-12-24,,Æó¾÷,Æó¾÷,,57623,
108,°ü±¤Ææ¼Ç¾÷,2010-09-15,,Æó¾÷,Æó¾÷,525-852,525-852,507.68
109,°ü±¤Ææ¼Ç¾÷,2012-12-05,,Æó¾÷,Æó¾÷,525-871,57115,774.7
110,°ü±¤Ææ¼Ç¾÷,2017-11-07,,Æó¾÷,Æó¾÷,,57115,168.95
111,°ü±¤Ææ¼Ç¾÷,2011-06-09,,Æó¾÷,Æó¾÷,517-812,57352,8380
112,°ü±¤Ææ¼Ç¾÷,2011-11-01,,Æó¾÷,Æó¾÷,517-812,57352,
113,°ü±¤Ææ¼Ç¾÷,2016-02-04,,Æó¾÷,Æó¾÷,,59054,303
114,°ü±¤Ææ¼Ç¾÷,2006-06-09,,Æó¾÷,Æó¾÷,656-891,,
115,°ü±¤Ææ¼Ç¾÷,2019-10-08,,Æó¾÷,Æó¾÷,,33488,378.96
116,°ü±¤Ææ¼Ç¾÷,2004-12-27,,Æó¾÷,Æó¾÷,650-834,,434.25
117,°ü±¤Ææ¼Ç¾÷,2010-07-09,,Æó¾÷,Æó¾÷,650-943,,
118,°ü±¤Ææ¼Ç¾÷,2010-07-14,,Æó¾÷,Æó¾÷,650-831,,
119,°ü±¤Ææ¼Ç¾÷,2010-08-09,,Æó¾÷,Æó¾÷,650-831,,
120,°ü±¤Ææ¼Ç¾÷,2010-10-29,,Æó¾÷,Æó¾÷,650-943,,
121,°ü±¤Ææ¼Ç¾÷,2010-10-29,,Æó¾÷,Æó¾÷,650-943,,
122,°ü±¤Ææ¼Ç¾÷,2010-10-29,,Æó¾÷,Æó¾÷,650-943,,
123,°ü±¤Ææ¼Ç¾÷,2011-06-14,,Æó¾÷,Æó¾÷,650-915,,
124,°ü±¤Ææ¼Ç¾÷,2011-08-11,,Æó¾÷,Æó¾÷,650-831,,
125,°ü±¤Ææ¼Ç¾÷,2012-06-19,,Æó¾÷,Æó¾÷,650-100,53063,
126,°ü±¤Ææ¼Ç¾÷,2012-06-19,,Æó¾÷,Æó¾÷,650-170,650-170,
127,°ü±¤Ææ¼Ç¾÷,2010-08-03,,Æó¾÷,Æó¾÷,200-911,,575.09
128,°ü±¤Ææ¼Ç¾÷,2014-10-20,,Æó¾÷,Æó¾÷,200-914,24464,571.3
129,°ü±¤Ææ¼Ç¾÷,2014-12-15,,Æó¾÷,Æó¾÷,689-883,45015,578
130,°ü±¤Ææ¼Ç¾÷,2017-08-31,,Æó¾÷,Æó¾÷,,59448,98.01
131,°ü±¤Ææ¼Ç¾÷,2018-02-05,,Æó¾÷,Æó¾÷,,59448,136.57
132,°ü±¤Ææ¼Ç¾÷,2018-05-17,,Æó¾÷,Æó¾÷,,59419,88.5
133,°ü±¤Ææ¼Ç¾÷,2010-09-07,,Æó¾÷,Æó¾÷,534-813,,463
134,°ü±¤Ææ¼Ç¾÷,2005-04-14,,Æó¾÷,Æó¾÷,534-851,534-851,1316.64
135,°ü±¤Ææ¼Ç¾÷,2009-09-17,,Æó¾÷,Æó¾÷,513-861,57067,169.43
136,°ü±¤Ææ¼Ç¾÷,2017-12-08,,Æó¾÷,Æó¾÷,,18553,195.6
137,°ü±¤Ææ¼Ç¾÷,2020-03-06,,Æó¾÷,Æó¾÷,,24464,198
138,°ü±¤Ææ¼Ç¾÷,2020-03-05,,Æó¾÷,Æó¾÷,,26304,171.66
139,°ü±¤Ææ¼Ç¾÷,2010-07-08,,Æó¾÷,Æó¾÷,656-831,,221.68
140,°ü±¤Ææ¼Ç¾÷,2013-02-26,,Æó¾÷,Æó¾÷,656-843,53333,196.92
141,°ü±¤Ææ¼Ç¾÷,2013-07-19,,Æó¾÷,Æó¾÷,656-832,656-832,228.29
142,°ü±¤Ææ¼Ç¾÷,2017-04-10,,Æó¾÷,Æó¾÷,,53205,
143,°ü±¤Ææ¼Ç¾÷,2013-07-19,,Æó¾÷,Æó¾÷,656-832,656-832,228.29
144,°ü±¤Ææ¼Ç¾÷,2013-07-19,,Æó¾÷,Æó¾÷,656-832,656-832,228.29
145,°ü±¤Ææ¼Ç¾÷,2013-07-19,,Æó¾÷,Æó¾÷,656-832,656-832,228.47
146,°ü±¤Ææ¼Ç¾÷,2013-07-19,,Æó¾÷,Æó¾÷,656-832,656-832,228.47
147,°ü±¤Ææ¼Ç¾÷,2014-06-17,,Æó¾÷,Æó¾÷,656-852,656-852,385.3
148,°ü±¤Ææ¼Ç¾÷,2015-06-15,,Æó¾÷,Æó¾÷,656-891,53329,188.8
149,°ü±¤Ææ¼Ç¾÷,2017-02-20,,Æó¾÷,Æó¾÷,,53205,
150,°ü±¤Ææ¼Ç¾÷,2017-02-20,,Æó¾÷,Æó¾÷,,53205,
151,°ü±¤Ææ¼Ç¾÷,2004-06-21,,Æó¾÷,Æó¾÷,,,717.84
152,°ü±¤Ææ¼Ç¾÷,2004-09-24,,Æó¾÷,Æó¾÷,233-809,,317.35
153,°ü±¤Ææ¼Ç¾÷,2008-05-08,,Æó¾÷,Æó¾÷,233-802,233-802,299.69
154,°ü±¤Ææ¼Ç¾÷,2017-02-14,,Æó¾÷,Æó¾÷,,26146,
155,°ü±¤Ææ¼Ç¾÷,2017-02-17,,Æó¾÷,Æó¾÷,,26146,
156,°ü±¤Ææ¼Ç¾÷,2018-05-08,,Æó¾÷,Æó¾÷,,25938,416.94
157,°ü±¤Ææ¼Ç¾÷,2004-08-03,,Æó¾÷,Æó¾÷,250-803,,267.89
158,°ü±¤Ææ¼Ç¾÷,2004-04-30,,Æó¾÷,Æó¾÷,250-852,,
159,°ü±¤Ææ¼Ç¾÷,2007-06-27,,Æó¾÷,Æó¾÷,250-882,25111,
160,°ü±¤Ææ¼Ç¾÷,2010-03-25,,Æó¾÷,Æó¾÷,250-833,,
161,°ü±¤Ææ¼Ç¾÷,2012-06-27,,Æó¾÷,Æó¾÷,250-861,25161,191.5
162,°ü±¤Ææ¼Ç¾÷,2006-04-17,,Æó¾÷,Æó¾÷,215-823,,752.76
163,°ü±¤Ææ¼Ç¾÷,2006-04-17,,Æó¾÷,Æó¾÷,215-823,,804.18
164,°ü±¤Ææ¼Ç¾÷,2010-09-07,,Æó¾÷,Æó¾÷,215-815,25038,
165,°ü±¤Ææ¼Ç¾÷,2011-08-22,,Æó¾÷,Æó¾÷,215-815,,
166,°ü±¤Ææ¼Ç¾÷,2020-05-15,,Æó¾÷,Æó¾÷,,53330,
167,°ü±¤Ææ¼Ç¾÷,2010-10-27,,Æó¾÷,Æó¾÷,668-821,,956.96
168,°ü±¤Ææ¼Ç¾÷,2017-07-13,,Æó¾÷,Æó¾÷,,53202,
169,°ü±¤Ææ¼Ç¾÷,2018-04-30,,Æó¾÷,Æó¾÷,,53329,213.87
170,°ü±¤Ææ¼Ç¾÷,2014-01-03,,Æó¾÷,Æó¾÷,650-913,650-913,229.48
171,°ü±¤Ææ¼Ç¾÷,2014-09-01,,Æó¾÷,Æó¾÷,650-943,53086,
172,°ü±¤Ææ¼Ç¾÷,2014-11-06,,Æó¾÷,Æó¾÷,650-836,53017,
173,°ü±¤Ææ¼Ç¾÷,2014-12-04,,Æó¾÷,Æó¾÷,650-837,53023,
174,°ü±¤Ææ¼Ç¾÷,2015-05-26,,Æó¾÷,Æó¾÷,650-942,53087,
175,°ü±¤Ææ¼Ç¾÷,2016-05-04,,Æó¾÷,Æó¾÷,,53085,
176,°ü±¤Ææ¼Ç¾÷,2018-03-20,,Æó¾÷,Æó¾÷,,53100,107.52
177,°ü±¤Ææ¼Ç¾÷,2010-11-22,,Æó¾÷,Æó¾÷,232-923,,197.21
178,°ü±¤Ææ¼Ç¾÷,2012-11-16,,Æó¾÷,Æó¾÷,232-922,25309,156.64
179,°ü±¤Ææ¼Ç¾÷,2014-06-03,,Æó¾÷,Æó¾÷,232-944,25337,115.05
180,°ü±¤Ææ¼Ç¾÷,2004-04-28,,Æó¾÷,Æó¾÷,232-811,,990
181,°ü±¤Ææ¼Ç¾÷,2005-05-23,,Æó¾÷,Æó¾÷,232-922,,454
182,°ü±¤Ææ¼Ç¾÷,2007-12-28,,Æó¾÷,Æó¾÷,232-811,,990
183,°ü±¤Ææ¼Ç¾÷,2008-05-13,,Æó¾÷,Æó¾÷,232-943,,225.47
184,°ü±¤Ææ¼Ç¾÷,2013-10-14,,Æó¾÷,Æó¾÷,250-856,25101,652
185,°ü±¤Ææ¼Ç¾÷,2017-11-22,,Æó¾÷,Æó¾÷,,25103,
186,°ü±¤Ææ¼Ç¾÷,2013-10-30,,Æó¾÷,Æó¾÷,250-856,25101,153.06
187,°ü±¤Ææ¼Ç¾÷,2015-02-03,,Æó¾÷,Æó¾÷,250-871,250-871,252.57
188,°ü±¤Ææ¼Ç¾÷,2015-04-27,,Æó¾÷,Æó¾÷,250-881,25116,161.09
189,°ü±¤Ææ¼Ç¾÷,2016-02-24,,Æó¾÷,Æó¾÷,,25116,336.14
190,°ü±¤Ææ¼Ç¾÷,2016-02-24,,Æó¾÷,Æó¾÷,,25116,310.64
191,°ü±¤Ææ¼Ç¾÷,2011-10-10,,Æó¾÷,Æó¾÷,255-804,,160.72
192,°ü±¤Ææ¼Ç¾÷,2003-12-18,,Æó¾÷,Æó¾÷,210-370,,195.4
193,°ü±¤Ææ¼Ç¾÷,2004-08-02,,Æó¾÷,Æó¾÷,210-851,,
194,°ü±¤Ææ¼Ç¾÷,2009-06-11,,Æó¾÷,Æó¾÷,,,5866.13
195,°ü±¤Ææ¼Ç¾÷,2012-03-29,,Æó¾÷,Æó¾÷,210-863,210-863,
196,°ü±¤Ææ¼Ç¾÷,2011-01-12,,Æó¾÷,Æó¾÷,235-802,235-019,213.39
